id,category_name,listing_type_id,price,sale_price_promotion,shipping_free,installments_quantity,installments_rate,seller_address_state,initial_quantity,DuracionOferta_dias,EdadProducto_dias,Proporcion_vendida
MLM2074821937,Accesorios para Vehículos,gold_special,1286.0,marketplace_campaign,true,24,45.03,Estado De México,206,29.499305555555555,102.3128103587963,0.9951456310679612
MLM2072879123,Accesorios para Vehículos,gold_special,498.6,campaign,true,24,45.03,Estado De México,11958,30.0,105.71174554398148,0.9581869877906004
MLM2017763171,Accesorios para Vehículos,gold_pro,1044.05,campaign,true,3,0.0,Estado De México,2714,30.0,217.21828489583334,0.9631540162122328
MLM2782372762,Accesorios para Vehículos,gold_special,789.0,marketplace_campaign,true,24,45.03,Distrito Federal,3137,27.46597222222222,257.22901406249997,0.9681224099458081
MLM3087994772,Accesorios para Vehículos,gold_special,99.96,campaign,false,24,45.03,Tlaxcala,982,30.0,112.33534508101852,0.8981670061099797
MLM2936381156,Accesorios para Vehículos,gold_pro,521.04,campaign,true,3,0.0,Estado De México,484,30.0,183.67533350694444,0.8966942148760331
MLM2735926146,Accesorios para Vehículos,gold_special,587.0,campaign,true,24,45.03,Estado De México,14141,30.0,281.35639832175923,0.9646418216533484
MLM2547576332,Accesorios para Vehículos,gold_special,387.97,campaign,true,24,45.03,Estado De México,769,30.0,360.67305341435184,0.9986996098829649
MLM2970993650,Accesorios para Vehículos,gold_pro,331.55,campaign,true,3,0.0,Estado De México,312,30.0,169.96805341435186,0.9967948717948718
MLM1421016172,Accesorios para Vehículos,gold_special,518.0,marketplace_campaign,true,24,45.03,Distrito Federal,3326,27.46597222222222,853.1021043402777,0.9996993385447985
MLM2042856977,Accesorios para Vehículos,gold_special,1276.0,marketplace_campaign,true,24,45.03,Estado De México,329,29.499305555555555,167.1924978587963,0.9969604863221885
MLM2127579669,Accesorios para Vehículos,gold_pro,1138.1,campaign,true,3,0.0,Distrito Federal,196,30.0,18.720779583333332,0.9948979591836735
MLM3170788336,Accesorios para Vehículos,gold_pro,959.52,campaign,true,3,0.0,Estado De México,984,30.0,77.38458119212963,0.7967479674796748
MLM2150904062,Accesorios para Vehículos,gold_special,154.44,campaign,false,24,45.03,Distrito Federal,5273,30.0,494.7622200810185,0.9998103546368291
MLM2795075630,Accesorios para Vehículos,gold_special,238.0,campaign,false,24,45.03,Nuevo León,1449,30.0,250.32783350694444,0.9309868875086267
MLM1473868237,Accesorios para Vehículos,gold_special,337.27,campaign,true,24,45.03,Estado De México,799,30.0,769.6589909143519,0.8122653316645807
MLM1393584338,Accesorios para Vehículos,gold_special,301.0,marketplace_campaign,true,24,45.03,Estado De México,2308,28.16597222222222,908.5019307291667,0.9783362218370883
MLM2014227629,Accesorios para Vehículos,gold_special,799.5,campaign,true,24,45.03,Distrito Federal,240,30.0,225.78184971064815,0.9958333333333333
MLM1400379595,Accesorios para Vehículos,gold_pro,302.57,campaign,true,3,0.0,Tabasco,841,30.0,893.3555418402777,0.9988109393579072
MLM2753743348,Accesorios para Vehículos,gold_special,133.95,marketplace_campaign,false,24,45.03,Nuevo León,1951,29.952754629629627,271.98921082175923,0.9487442337262942
MLM2012312267,Accesorios para Vehículos,gold_special,485.17,custom,true,24,45.03,Estado De México,3312,30.999988425925924,230.72198859953704,0.9849033816425121
MLM2596991716,Accesorios para Vehículos,gold_special,365.4,campaign,true,24,45.03,Estado De México,2967,30.0,337.33952332175926,0.9494438827098078
MLM3289532424,Accesorios para Vehículos,gold_pro,280.25,campaign,false,3,0.0,Distrito Federal,458,30.0,37.60187583333333,0.5633187772925764
MLM1426771285,Accesorios para Vehículos,gold_special,177.0,marketplace_campaign,false,24,45.03,Estado De México,2128,28.16597222222222,842.2877293402778,0.9765037593984962
MLM3259577710,Accesorios para Vehículos,gold_special,601.2,marketplace_campaign,true,24,45.03,Estado De México,547,25.666666666666664,48.77380572916667,0.5429616087751371
MLM3261917572,Accesorios para Vehículos,gold_special,379.24,campaign,true,24,45.03,Estado De México,625,30.0,47.93695092592593,0.76
MLM1980131709,Accesorios para Vehículos,gold_special,179.96,campaign,false,24,45.03,Estado De México,12801,30.0,299.97389832175924,0.9609405515194126
MLM1394797560,Accesorios para Vehículos,gold_special,545.0,marketplace_campaign,true,24,45.03,Estado De México,1061,28.16597222222222,905.3177872106481,0.9528746465598492
